"filename", "language", "JSON", "Markdown", "JavaScript", "Vue", "TypeScript", "HTML", "Less", "XML", "CSS", "comment", "blank", "total"
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\README.md", "Markdown", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 23, 70
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\package-lock.json", "JSON", 13597, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13598
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\package.json", "JSON", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 30
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\public\index.html", "HTML", 0, 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\App.vue", "Vue", 0, 0, 0, 85, 0, 0, 0, 0, 0, 3, 8, 96
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\api\axios.js", "JavaScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 5, 7, 62
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\font\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 4, 22
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\font\iconfont.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\font\iconfont.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 3, 7, 30
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\login.less", "Less", 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 5, 74
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\main.less", "Less", 0, 0, 0, 0, 0, 0, 153, 0, 0, 29, 40, 222
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\main\classes.less", "Less", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\main\classeslist.less", "Less", 0, 0, 0, 0, 0, 0, 134, 0, 0, 0, 12, 146
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\main\finishTest.less", "Less", 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 9, 62
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\main\home.less", "Less", 0, 0, 0, 0, 0, 0, 89, 0, 0, 8, 18, 115
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\main\markTest.less", "Less", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 13
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\main\me.less", "Less", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 16, 91
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\markTestPaper.less", "Less", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 9, 50
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\my_tab.less", "Less", 0, 0, 0, 0, 0, 0, 111, 0, 0, 11, 15, 137
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\testPaper.less", "Less", 0, 0, 0, 0, 0, 0, 355, 0, 0, 6, 82, 443
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\assets\less\topic.less", "Less", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\components\HelloWorld.vue", "Vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 1, 4, 39
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\components\MyTab.vue", "Vue", 0, 0, 0, 190, 0, 0, 0, 0, 0, 20, 22, 232
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\components\MyclassesPaper.vue", "Vue", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 6, 48
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\components\TopTab.vue", "Vue", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\components\topic.vue", "Vue", 0, 0, 0, 174, 0, 0, 0, 0, 0, 16, 14, 204
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\filters\index.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 0, 2, 3, 46
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\main.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 0, 0, 2, 9, 47
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\mixins\testPaper-mixin.js", "JavaScript", 0, 0, 58, 0, 0, 0, 0, 0, 0, 5, 17, 80
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\oldpaper\ChangeStatus.vue", "Vue", 0, 0, 0, 22, 0, 0, 0, 0, 0, 1, 9, 32
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\oldpaper\Classes copy.vue", "Vue", 0, 0, 0, 94, 0, 0, 0, 0, 0, 4, 13, 111
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\oldpaper\finishTest\MyTest.vue", "Vue", 0, 0, 0, 27, 0, 0, 0, 0, 0, 1, 6, 34
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\oldpaper\finishTest\MyTestList.vue", "Vue", 0, 0, 0, 58, 0, 0, 0, 0, 0, 0, 6, 64
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\router\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 4, 12
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\router\routes.js", "JavaScript", 0, 0, 134, 0, 0, 0, 0, 0, 0, 0, 5, 139
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\store\index.js", "JavaScript", 0, 0, 119, 0, 0, 0, 0, 0, 0, 12, 9, 140
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\typongs.d.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\utils\api.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\utils\common.js", "JavaScript", 0, 0, 100, 0, 0, 0, 0, 0, 0, 29, 27, 156
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\utils\role.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\Login.vue", "Vue", 0, 0, 0, 75, 0, 0, 0, 0, 0, 6, 7, 88
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\Main.vue", "Vue", 0, 0, 0, 142, 0, 0, 0, 0, 0, 21, 17, 180
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\MarkTest.vue", "Vue", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\Register.vue", "Vue", 0, 0, 0, 155, 0, 0, 0, 0, 0, 3, 9, 167
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\classes\ClassesList.vue", "Vue", 0, 0, 0, 190, 0, 0, 0, 0, 0, 18, 22, 230
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\classes\ClassesSpace.vue", "Vue", 0, 0, 0, 423, 0, 0, 0, 0, 0, 23, 34, 480
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\classes\Index.vue", "Vue", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 3, 32
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\classes\TestSituation.vue", "Vue", 0, 0, 0, 303, 0, 0, 0, 0, 0, 10, 17, 330
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\classes\components\CreateClasses.vue", "Vue", 0, 0, 0, 87, 0, 0, 0, 0, 0, 3, 3, 93
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\classes\components\EditClasses.vue", "Vue", 0, 0, 0, 79, 0, 0, 0, 0, 0, 5, 3, 87
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\classes\components\ReleaseUpdate.vue", "Vue", 0, 0, 0, 65, 0, 0, 0, 0, 0, 9, 7, 81
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\main\Home.vue", "Vue", 0, 0, 0, 91, 0, 0, 0, 0, 0, 7, 11, 109
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\main\Me.vue", "Vue", 0, 0, 0, 66, 0, 0, 0, 0, 0, 1, 4, 71
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\main\MyFinishTest.vue", "Vue", 0, 0, 0, 174, 0, 0, 0, 0, 0, 6, 13, 193
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\main\Topic.vue", "Vue", 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\main\myMessage\MyMessage.vue", "Vue", 0, 0, 0, 98, 0, 0, 0, 0, 0, 4, 15, 117
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\main\myMessage\SendMessage.vue", "Vue", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\myExam\MyTest.vue", "Vue", 0, 0, 0, 184, 0, 0, 0, 0, 0, 9, 22, 215
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\myExam\components\ReleaseTest.vue", "Vue", 0, 0, 0, 271, 0, 0, 0, 0, 0, 30, 28, 329
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\testPaper\MarkTestPaper.vue", "Vue", 0, 0, 0, 313, 0, 0, 0, 0, 0, 38, 45, 396
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\testPaper\TestPaperStu.vue", "Vue", 0, 0, 0, 535, 0, 0, 0, 0, 0, 65, 51, 651
"d:\项目\demo\前端\Online-exam\online-examination-system-FE-master\src\views\testPaper\TestPaperTch.vue", "Vue", 0, 0, 0, 713, 0, 0, 0, 0, 0, 66, 58, 837
"Total", "-", 13626, 47, 567, 4784, 4, 16, 1115, 20, 18, 484, 805, 21486
